icd_10_code,diagnosis_name
R6882,"Drainage of Right Temporal Artery, Percutaneous Approach, Diagnostic"
S43316A,"Fragmentation in Anus, Percutaneous Endoscopic Approach"
T405X3S,"Revision of Nonautologous Tissue Substitute in Upper Intestinal Tract, Percutaneous Endoscopic Approach"
M24574,"Release Right Knee Joint, Percutaneous Approach"
D47Z2,"Drainage of Right Upper Leg Muscle, Percutaneous Endoscopic Approach"
O151,"Revision of Synthetic Substitute in Right Toe Phalanx, Open Approach"
A4101,"Replacement of Chest Skin with Synthetic Substitute, External Approach"
M0890,"Supplement Pancreatic Duct with Nonautologous Tissue Substitute, Open Approach"
S46002,"Fragmentation in Right Large Intestine, External Approach"
M05779,"Reposition Left Ulna with External Fixation Device, Percutaneous Approach"
S42494S,"Central Nervous System, Removal"
S60461,"Release Brain, Percutaneous Approach"
S27491S,"Drainage of Right Temporal Bone, Percutaneous Endoscopic Approach, Diagnostic"
S1113XS,"Transfusion of Autologous Antihemophilic Factors into Peripheral Vein, Percutaneous Approach"
T2250,"Supplement Right Finger Phalangeal Joint with Nonautologous Tissue Substitute, Percutaneous Approach"
S15312D,"Fluoroscopy of Multiple Coronary Arteries using Other Contrast, Laser Intraoperative"
S86129S,"Extirpation of Matter from Stomach, Percutaneous Approach"
T24422S,"Supplement Left Testis with Synthetic Substitute, Open Approach"
S32040B,"Restriction of Left Radial Artery with Extraluminal Device, Percutaneous Approach"
M84559P,"Bypass Coronary Artery, Two Arteries from Abdominal Artery with Synthetic Substitute, Open Approach"
V259XXD,"Dilation of Lower Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
S82032A,"Bypass Colic Vein to Lower Vein with Autologous Arterial Tissue, Open Approach"
T386X2D,Removal of Bandage on Left Lower Arm
S89129S,"Bypass Right Femoral Artery to Right Femoral Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
Z73,"Dilation of Left Anterior Tibial Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
S90849S,"Drainage of Carina, Percutaneous Approach"
S24112S,"Supplement Left Ethmoid Bone with Synthetic Substitute, Open Approach"
H05811,"Replacement of Left Lower Arm Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
F5081,"Occlusion of Left Internal Carotid Artery, Percutaneous Endoscopic Approach"
S92045G,"Extirpation of Matter from Right Knee Bursa and Ligament, Open Approach"
Y37120,Muscle Performance Treatment of Musculoskeletal System - Upper Back / Upper Extremity using Prosthesis
T50A21S,"Drainage of Cranial Cavity, Percutaneous Endoscopic Approach"
S12530B,"Dilation of Left Vertebral Artery with Three Intraluminal Devices, Open Approach"
S63416S,"Dilation of Right Subclavian Artery, Bifurcation, Percutaneous Approach"
M89421,"Repair Right Brachial Vein, Open Approach"
S82465R,"Dilation of Left Temporal Artery, Bifurcation, with Three Intraluminal Devices, Open Approach"
S76212,"Bypass Right Hypogastric Vein to Lower Vein with Autologous Tissue Substitute, Open Approach"
K7030,"Excision of Right Hand Subcutaneous Tissue and Fascia, Open Approach, Diagnostic"
S70242,"Drainage of Lingula Bronchus with Drainage Device, Via Natural or Artificial Opening Endoscopic"
S91155D,"Supplement Right Brachial Artery with Nonautologous Tissue Substitute, Open Approach"
M84675P,"Bypass Coronary Artery, Two Arteries from Thoracic Artery, Percutaneous Endoscopic Approach"
T2473,"Bypass Intracranial Vein to Upper Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
S8251,"Dilation of Left External Iliac Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
S66125A,"Revision of Synthetic Substitute in Prostate and Seminal Vesicles, External Approach"
S32502B,"Bypass Cecum to Sigmoid Colon, Via Natural or Artificial Opening Endoscopic"
O2663,"Restriction of Right Middle Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach"
M063,"Supplement Right Brachial Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
T4792,"Removal of Nonautologous Tissue Substitute from Right Breast, Via Natural or Artificial Opening"
T23329,"Repair Right Foot Muscle, Percutaneous Approach"
O352XX9,"Removal of Nonautologous Tissue Substitute from Chest Wall, Percutaneous Approach"
W311XXS,"Excision of Cystic Duct, Via Natural or Artificial Opening, Diagnostic"
S95092,"Transfusion of Autologous White Cells into Central Vein, Percutaneous Approach"
S82226P,"Drainage of Left Inferior Parathyroid Gland, Open Approach"
S97112D,"Revision of Internal Fixation Device in Left Humeral Head, Open Approach"
S32028A,"Replacement of Right Vocal Cord with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
T447X,"Occlusion of Gastric Vein with Extraluminal Device, Open Approach"
M7061,"Removal of Other Device from Lower Jaw, External Approach"
N2589,"Replacement of Right Maxilla with Synthetic Substitute, Percutaneous Endoscopic Approach"
T371X6A,"Revision of Drainage Device in Right Hip Joint, External Approach"
T361X4,"Excision of Scrotum, Percutaneous Approach, Diagnostic"
M008,"Extirpation of Matter from Stomach, Pylorus, Percutaneous Endoscopic Approach"
M1A2191,"Drainage of Upper Jaw, Percutaneous Endoscopic Approach"
T84126A,"Removal of Radioactive Element from Chest Wall, Percutaneous Approach"
K121,"Excision of Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach, Diagnostic"
M84412P,"Replacement of Right Shoulder Joint with Synthetic Substitute, Humeral Surface, Open Approach"
S92009S,Low Dose Rate (LDR) Brachytherapy of Cervix using Iridium 192 (Ir-192)
S01121A,"Bypass Inferior Vena Cava to Inferior Mesenteric Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
S82424E,"Inspection of Right Knee Region, External Approach"
S0522XD,"Supplement Left Upper Leg with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S339XXD,"Bypass Esophagus to Duodenum with Autologous Tissue Substitute, Open Approach"
S01421D,"Dilation of Right Large Intestine with Intraluminal Device, Via Natural or Artificial Opening"
R948,"Removal of Drainage Device from Vagina and Cul-de-sac, Open Approach"
V222XXD,"Resection of Left Finger Phalanx, Open Approach"
Y93E9,"Excision of Left Lower Arm, Percutaneous Endoscopic Approach"
M7050,"Insertion of Infusion Device into Left Ankle Region, Percutaneous Endoscopic Approach"
S52292K,"Extirpation of Matter from Right Upper Lung Lobe, Percutaneous Endoscopic Approach"
Q76412,"Supplement Left Lacrimal Duct with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
O9122,"Occlusion of Left Hepatic Duct, Open Approach"
S68615,"Insertion of Pacemaker Lead into Coronary Vein, Percutaneous Endoscopic Approach"
S72391,"Drainage of Left Mastoid Sinus with Drainage Device, Percutaneous Endoscopic Approach"
S31811S,"Bypass Left Kidney Pelvis to Right Kidney Pelvis with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
T471X,"Fragmentation in Right Pleural Cavity, Percutaneous Endoscopic Approach"
H722X9,"Bypass Right Foot Vein to Lower Vein, Open Approach"
T460X2,"Insertion of Spacer into Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach"
V854XXA,"Revision of Infusion Device in Penis, Via Natural or Artificial Opening"
V9103,"Extirpation of Matter from Left Tibia, Percutaneous Approach"
S062X2S,"Removal of Extraluminal Device from Left Eye, Open Approach"
M972,"Reattachment of Perineum Muscle, Open Approach"
S42224S,"Bypass Right Femoral Artery to Lower Extremity Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
V743,"Extirpation of Matter from Right Basilic Vein, Percutaneous Endoscopic Approach"
L03313,"Excision of Right Thorax Bursa and Ligament, Percutaneous Approach"
G521,"Introduction of High-dose Interleukin-2 into Spinal Canal, Percutaneous Approach"
S52561B,"Occlusion of Right Hepatic Duct with Intraluminal Device, Percutaneous Approach"
M1182,"Release Left Temporal Artery, Percutaneous Endoscopic Approach"
Z572,"Fusion of 2 or more Cervical Vertebral Joints with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Approach"
O3102X3,"Drainage of Left Tympanic Membrane with Drainage Device, Percutaneous Approach"
S32049A,"Replacement of Left Greater Saphenous Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
S5612,"Extirpation of Matter from Pancreatic Duct, Via Natural or Artificial Opening"
T363X3S,"Supplement Left Lacrimal Bone with Autologous Tissue Substitute, Percutaneous Approach"
V9118,"Insertion of Intraluminal Device into Right Pulmonary Vein, Percutaneous Endoscopic Approach"
T38891D,"Occlusion of Left Posterior Tibial Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
T63451A,"Drainage of Right Upper Arm Muscle with Drainage Device, Percutaneous Endoscopic Approach"
T565X3,"Removal of Internal Fixation Device from Left Patella, Open Approach"
M610,"Removal of Autologous Tissue Substitute from Skull, Open Approach"
S56212D,"Removal of Spacer from Occipital-cervical Joint, Open Approach"
M4641,"Occlusion of Anus with Extraluminal Device, Percutaneous Approach"
T8091,"Restriction of Right Temporal Artery with Extraluminal Device, Percutaneous Approach"
I369,"Removal of Drainage Device from Left Hip Joint, Percutaneous Endoscopic Approach"
P3619,"Bypass Jejunum to Jejunum, Via Natural or Artificial Opening Endoscopic"
T8362XD,"Release Right Foot Artery, Percutaneous Endoscopic Approach"
H109,"Inspection of Occipital-cervical Joint, Percutaneous Endoscopic Approach"
S42032B,"Reposition Right Patella, Percutaneous Endoscopic Approach"
T22129,"Drainage of Middle Colic Artery with Drainage Device, Open Approach"
I69264,"Drainage of Right Subclavian Vein, Percutaneous Endoscopic Approach, Diagnostic"
S72009J,"Drainage of Left Femoral Shaft with Drainage Device, Open Approach"
G7114,"Bypass Right Kidney Pelvis to Right Ureter, Open Approach"
Z510,"Resection of Left Hepatic Duct, Percutaneous Endoscopic Approach"
M14651,"Insertion of Infusion Device into Left Upper Arm, Open Approach"
T445X4,"Drainage of Upper Tooth, External Approach, Multiple"
V437,"Inspection of Upper Back, Percutaneous Endoscopic Approach"
M12231,"Supplement Right Internal Mammary Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
V230XXS,"Restriction of Rectum with Extraluminal Device, Percutaneous Endoscopic Approach"
T3362XA,"Extirpation of Matter from Medulla Oblongata, Percutaneous Endoscopic Approach"
B8789,"Bypass Right Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
H1043,"Insertion of Radioactive Element into Right Eye, Percutaneous Approach"
M84641S,"Transfusion of Autologous Frozen Red Cells into Peripheral Artery, Open Approach"
T23212S,"Transfusion of Nonautologous Platelets into Peripheral Vein, Open Approach"
M12369,"Bypass Left Femoral Artery to Posterior Tibial Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
M1222,"Computerized Tomography (CT Scan) of Bilateral Parotid Glands using Low Osmolar Contrast, Unenhanced and Enhanced"
S52242M,Therapeutic Exercise Treatment of Integumentary System - Whole Body using Aerobic Endurance and Conditioning Equipment
M11229,"Bypass Stomach to Transverse Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S72033A,"Destruction of Right Hip Muscle, Open Approach"
S62317P,"Removal of Autologous Tissue Substitute from Kidney, Percutaneous Endoscopic Approach"
D219,"Reposition Right Hip Joint with Internal Fixation Device, External Approach"
V179XXS,"Removal of Nonautologous Tissue Substitute from Right Toe Phalanx, Percutaneous Endoscopic Approach"
T22649S,"Fusion of 8 or more Thoracic Vertebral Joints with Interbody Fusion Device, Anterior Approach, Anterior Column, Open Approach"
S93511D,Sensory Awareness/Processing/Integrity Assessment of Musculoskeletal System - Whole Body using Other Equipment
M84639A,"Replacement of Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach"
T2250XS,"Revision of Drainage Device in Right Tarsal Joint, External Approach"
Q062,"Drainage of Right Lower Extremity with Drainage Device, Open Approach"
S72115Q,"Reattachment of Right Neck Muscle, Open Approach"
V9132XD,"Excision of Left Radius, Percutaneous Approach, Diagnostic"
S15029A,"Supplement Lower Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
C8395,"Transfer Sciatic Nerve to Peroneal Nerve, Open Approach"
S42124D,"Drainage of Accessory Sinus, Open Approach"
V00828A,"Release Left Ankle Tendon, External Approach"
T43502S,"Transfer Olfactory Nerve to Glossopharyngeal Nerve, Percutaneous Endoscopic Approach"
T24739A,"Dilation of Right Face Vein, Percutaneous Endoscopic Approach"
H30899,"Removal of Drainage Device from Right Metatarsal-Tarsal Joint, Percutaneous Approach"
S52233,"Supplement Left Inguinal Lymphatic with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S42111A,"Removal of Synthetic Substitute from Larynx, Via Natural or Artificial Opening"
S52539E,"Excision of Left Lower Femur, Percutaneous Endoscopic Approach, Diagnostic"
S63401D,"Revision of Synthetic Substitute in Left Wrist Joint, Open Approach"
S46112A,"Anatomical Regions, Upper Extremities, Inspection"
S92255S,"Removal of Synthetic Substitute from Sacrum, Open Approach"
S82436C,"Extirpation of Matter from Bilateral Epididymis, Open Approach"
T84117D,"Removal of Synthetic Substitute from Fallopian Tube, Via Natural or Artificial Opening"
Q51818,Removal of Cast on Face
S72463P,"Removal of Autologous Tissue Substitute from Trachea, Via Natural or Artificial Opening Endoscopic"
S42154G,"Extirpation of Matter from Oculomotor Nerve, Open Approach"
S82856J,"Occlusion of Vagina with Intraluminal Device, Via Natural or Artificial Opening Endoscopic"
M84569S,"Removal of Synthetic Substitute from Cervicothoracic Vertebral Joint, Percutaneous Endoscopic Approach"
S63653S,"Computerized Tomography (CT Scan) of Right and Left Heart using Low Osmolar Contrast, Unenhanced and Enhanced"
S52301C,"Supplement Small Intestine with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
M6632,"Inspection of Left Ankle Joint, External Approach"
S61121D,"Group Counseling for Substance Abuse Treatment, Behavioral"
S0561XD,Magnetic Resonance Imaging (MRI) of Left Kidney using Other Contrast
T65223D,"Drainage of Carina, Percutaneous Endoscopic Approach, Diagnostic"
W554,Low Dose Rate (LDR) Brachytherapy of Pleura using Other Isotope
S92313G,Magnetic Resonance Imaging (MRI) of Right Lower Leg using Other Contrast
S345,"Excision of Right Vertebral Vein, Percutaneous Endoscopic Approach"
M2352,High Dose Rate (HDR) Brachytherapy of Uterus using Iodine 125 (I-125)
S42111,"Release Right Sphenoid Sinus, Open Approach"
S56197D,"Drainage of Mesentery, Percutaneous Approach, Diagnostic"
S43314S,"Restriction of Upper Esophagus with Intraluminal Device, Percutaneous Endoscopic Approach"
T22142D,"Division of Pituitary Gland, Percutaneous Approach"
S65019,"Supplement Left Inguinal Region with Nonautologous Tissue Substitute, Open Approach"
O244,"Removal of Nonautologous Tissue Substitute from Right Sternoclavicular Joint, Percutaneous Approach"
S72102B,"Replacement of Right Toe Phalanx with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S72336N,"Replacement of Right Knee Joint, Tibial Surface with Autologous Tissue Substitute, Open Approach"
P021,"Replacement of Skull with Nonautologous Tissue Substitute, Open Approach"
T373X4A,"Removal of Drainage Device from Right Metacarpocarpal Joint, Open Approach"
H02715,"Drainage of Tibial Nerve with Drainage Device, Percutaneous Approach"
S43201S,"Drainage of Left Knee Tendon with Drainage Device, Percutaneous Approach"
S63617A,"Dilation of Left External Carotid Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
V703XXD,"Revision of Nonautologous Tissue Substitute in Male Perineum, Percutaneous Endoscopic Approach"
M12021,"Insertion of Infusion Device into Gastric Artery, Percutaneous Endoscopic Approach"
V8663XS,"Supplement Left Clavicle with Synthetic Substitute, Percutaneous Endoscopic Approach"
S12430B,"Excision of Uterine Supporting Structure, Via Natural or Artificial Opening Endoscopic"
S89041P,Low Dose Rate (LDR) Brachytherapy of Lung using Iridium 192 (Ir-192)
S48912S,"Revision of External Fixation Device in Right Tibia, Percutaneous Approach"
T85510A,"Removal of Nonautologous Tissue Substitute from Right Sacroiliac Joint, Open Approach"
S329XXS,"Excision of Left Metatarsal, Percutaneous Approach, Diagnostic"
S68612A,"Destruction of Left Popliteal Artery, Percutaneous Approach"
S31532A,"Drainage of Left Vertebral Artery, Percutaneous Approach"
M2185,"Dilation of Aortic Valve with Drug-eluting Intraluminal Device, Open Approach"
S0034,Contact Radiation of Eye
I70632,"Revision of Autologous Tissue Substitute in Tricuspid Valve, Open Approach"
T632X4A,"Removal of Autologous Tissue Substitute from Sacrococcygeal Joint, Open Approach"
S72331M,"Supplement Right Trunk Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach"
G378,"Reposition Right Fibula with Monoplanar External Fixation Device, Open Approach"
S02622S,"Imaging, Skin, Subcutaneous Tissue and Breast, Magnetic Resonance Imaging (MRI)"
Z8911,"Introduction of Monoclonal Antibody into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic"
S04012D,"Removal of Infusion Device from Right Wrist Joint, Open Approach"
S63261S,"Bypass Left Axillary Artery to Right Upper Leg Artery, Open Approach"
S8992XA,"Fluoroscopy of Multiple Coronary Artery Bypass Grafts using High Osmolar Contrast, Laser Intraoperative"
H1613,"Reposition Rectum, Via Natural or Artificial Opening Endoscopic"
H1112,"Removal of Nonautologous Tissue Substitute from Upper Back, Percutaneous Approach"
S96009S,"Dilation of Right Thyroid Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
S83271S,"Insertion of Pacemaker Lead into Right Ventricle, Open Approach"
O77,"Division of Sciatic Nerve, Open Approach"
Q7160,"Occlusion of Left Peroneal Artery, Percutaneous Approach"
S35339,"Repair Thoracic Vertebral Joint, Open Approach"
S52202N,"Drainage of Cisterna Chyli, Percutaneous Endoscopic Approach, Diagnostic"
K262,"Drainage of Left Axillary Vein, Percutaneous Approach, Diagnostic"
S82841M,"Replacement of Right Upper Eyelid with Autologous Tissue Substitute, Open Approach"
S40861A,"Supplement Left Nipple with Autologous Tissue Substitute, External Approach"
S82302M,Nonimaging Nuclear Medicine Assay of Blood using Indium 111 (In-111)
T381X4D,"Excision of Left Hip Muscle, Percutaneous Endoscopic Approach, Diagnostic"
T458X6,Plain Radiography of Right Knee
P580,Muscle Performance Treatment of Integumentary System - Lower Back / Lower Extremity using Prosthesis
G468,"Destruction of Right Ethmoid Sinus, Percutaneous Endoscopic Approach"
R311,"Removal of Autologous Tissue Substitute from Lower Tendon, Open Approach"
S29009A,"Revision of Drainage Device in Upper Intestinal Tract, Percutaneous Approach"
O2632,"Drainage of Right Foot Bursa and Ligament, Percutaneous Approach"
Z79899,"Extirpation of Matter from Coronary Artery, Three Arteries, Bifurcation, Percutaneous Approach"
K5909,Fluoroscopy of Bilateral External Carotid Arteries using Low Osmolar Contrast
T71161,"Excision of Right External Auditory Canal, Open Approach"
O07,"Excision of Right Metatarsal-Phalangeal Joint, Percutaneous Approach"
S82014D,Laser Interstitial Thermal Therapy of Liver
V716,"Supplement Lumbar Vertebral Joint with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
V9333XS,"Drainage of Left Adrenal Gland, Percutaneous Endoscopic Approach"
Q458,"Bypass Right Basilic Vein to Upper Vein with Autologous Arterial Tissue, Open Approach"
S52323B,"Insertion of Spacer into Left Metacarpophalangeal Joint, Open Approach"
S0562XA,"Bypass Right Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
M84344A,"Extirpation of Matter from Cul-de-sac, Percutaneous Endoscopic Approach"
S91049S,"Revision of Nonautologous Tissue Substitute in Kidney, Percutaneous Endoscopic Approach"
H21562,"Dilation of Right Renal Artery with Two Drug-eluting Intraluminal Devices, Open Approach"
M06031,"Bypass Right Ureter to Right Ureter, Percutaneous Endoscopic Approach"
C462,"Release Right Humeral Shaft, Open Approach"
W098XXD,Planar Nuclear Medicine Imaging of Left Upper Extremity Veins using Technetium 99m (Tc-99m)
H0451,"Insertion of Internal Fixation Device into Left Tibia, Percutaneous Approach"
M438X1,"Occlusion of Left Internal Iliac Artery with Intraluminal Device, Percutaneous Approach"
S52601Q,"Supplement Ampulla of Vater with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
V64,"Drainage of Left Scapula with Drainage Device, Open Approach"
S66911S,"Fluoroscopy of Right Renal Artery using High Osmolar Contrast, Laser Intraoperative"
S62302D,Beam Radiation of Pelvis Lymphatics using Photons <1 MeV
W1843XD,"Drainage of Left Lower Arm Subcutaneous Tissue and Fascia with Drainage Device, Open Approach"
S14107S,"Replacement of Coccygeal Joint with Synthetic Substitute, Open Approach"
T23152S,"Destruction of Accessory Nerve, Percutaneous Endoscopic Approach"
S72116N,"Bypass Esophagus to Ileum with Nonautologous Tissue Substitute, Open Approach"
S52024K,"Drainage of Sacrum with Drainage Device, Percutaneous Approach"
M7185,"Revision of Synthetic Substitute in Nose, Via Natural or Artificial Opening Endoscopic"
Y35122D,"Insertion of Infusion Device into Right Wrist Joint, Open Approach"
S53104S,"Removal of Synthetic Substitute from Right Knee Joint, Femoral Surface, Open Approach"
T33822D,Wound Management Treatment of Integumentary System - Whole Body using Orthosis
J9611,"Removal of Internal Fixation Device from Right Lower Femur, Percutaneous Approach"
H1031,"Bypass Left Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Open Approach"
S82232S,"Drainage of Right Basilic Vein, Percutaneous Approach, Diagnostic"
S3613XD,"Removal of Infusion Device from Left Carpal Joint, External Approach"
B2701,"Resection of Perineum Tendon, Open Approach"
G440,"Bypass Jejunum to Cutaneous, Open Approach"
O2302,"Revision of Nonautologous Tissue Substitute in Right Humeral Head, Percutaneous Endoscopic Approach"
S66499A,"Repair Left Upper Eyelid, Percutaneous Approach"
O0389,"Drainage of Right Ethmoid Sinus, Percutaneous Endoscopic Approach, Diagnostic"
K4191,"Detachment at Right 5th Toe, High, Open Approach"
W108,"Replacement of Right Upper Arm Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Open Approach"
S82454E,"Excision of Left Common Iliac Artery, Percutaneous Endoscopic Approach, Diagnostic"
I82511,"Revision of Drainage Device in Pancreatic Duct, Via Natural or Artificial Opening Endoscopic"
T84223D,"Release Left Tarsal Joint, Open Approach"
T8859XD,"Resection of Atrial Septum, Percutaneous Endoscopic Approach"
S62109P,Osteopathic Treatment of Head using Indirect Forces
S27301,"Drainage of Right Toe Phalangeal Joint, Open Approach, Diagnostic"
S11013S,"Replacement of Lower Lip with Nonautologous Tissue Substitute, External Approach"
H20813,"Release Right Vocal Cord, Percutaneous Approach"
M01X59,"Insertion of Infusion Device into Thoracolumbar Vertebral Joint, Percutaneous Endoscopic Approach"
S92251P,"Repair Left 4th Toe, Percutaneous Approach"
S14108D,"Reattachment of Right Hepatic Duct, Percutaneous Endoscopic Approach"
H15122,"Insertion of External Fixation Device into Right Ulna, Percutaneous Approach"
M1A152,"Measurement of Peripheral Nervous Stimulator, External Approach"
S9430,"Restriction of Right Internal Iliac Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
S52569D,Computerized Tomography (CT Scan) of Thoracic Spine
O3670X4,"Reposition Left Common Iliac Vein, Percutaneous Endoscopic Approach"
S70369,"Supplement Left Upper Extremity Lymphatic with Synthetic Substitute, Open Approach"
S15322,Removal of Bandage on Chest Wall
Z3862,"Supplement Left Internal Mammary Lymphatic with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S22089,"Extirpation of Matter from Right Foot Vein, Percutaneous Endoscopic Approach"
A78,"Excision of Right Colic Artery, Percutaneous Approach"
M00212,"Revision of Internal Fixation Device in Left Shoulder Joint, Open Approach"
T43013S,Plain Radiography of Right Clavicle
S63641D,"Revision of Spacer in Left Metatarsal-Tarsal Joint, Percutaneous Approach"
S2192XS,"Release Left Epididymis, Open Approach"
W16622A,"Reposition Left Fallopian Tube, Open Approach"
O747,"Extirpation of Matter from Left Hand Muscle, Open Approach"
R402362,"Supplement Right Hand Vein with Nonautologous Tissue Substitute, Open Approach"
H2129,"Release Right Large Intestine, Via Natural or Artificial Opening"
S50829D,"Excision of Right Axilla, Percutaneous Endoscopic Approach, Diagnostic"
S32415A,"Bypass Middle Esophagus to Duodenum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S60342A,"Supplement Right Shoulder Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S3183,"Removal of Nonautologous Tissue Substitute from Left Pelvic Bone, Open Approach"
N6453,"Dilation of Innominate Artery with Three Intraluminal Devices, Open Approach"
S52382D,"Occlusion of Right Main Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach"
S12131A,"Excision of Left Upper Lung Lobe, Via Natural or Artificial Opening, Diagnostic"
F13280,"Drainage of Lumbar Vertebral Joint, Percutaneous Approach, Diagnostic"
Z1273,"Reposition Nasal Bone, Percutaneous Endoscopic Approach"
M0536,"Supplement Left Fibula with Nonautologous Tissue Substitute, Percutaneous Approach"
R893,"Reposition Right Thorax Bursa and Ligament, Open Approach"
D07,Beam Radiation of Mandible using Neutron Capture
S72363G,"Bypass Right Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach"
F14250,"Destruction of Thymus, Percutaneous Approach"
C829,"Drainage of Scalp Skin with Drainage Device, External Approach"
S8261XS,"Insertion of Endotracheal Airway into Trachea, Percutaneous Approach"
S42211A,"Release Left Internal Mammary Lymphatic, Open Approach"
M25075,"Supplement Lumbar Vertebra with Synthetic Substitute, Percutaneous Endoscopic Approach"
S7224XM,Wheelchair Mobility Assessment
S46812S,"Reposition Left Acetabulum, Open Approach"
E093291,Beam Radiation of Inguinal Lymphatics using Photons >10 MeV
S63403,"Supplement of Left Upper Arm Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Open Approach"
M215,"Occlusion of Right Neck Lymphatic, Open Approach"
V579XXD,"Supplement Face with Autologous Tissue Substitute, Open Approach"
L438,"Division of Left Parietal Bone, Open Approach"
W5319,"Insertion of Internal Fixation Device into Right Finger Phalangeal Joint, Open Approach"
T25491S,"Occlusion of Left Axillary Vein with Extraluminal Device, Open Approach"
S62025S,Packing of Right Lower Leg using Packing Material
M9978,"Transfer Lumbar Nerve to Perineal Nerve, Open Approach"
S52034F,"Removal of Synthetic Substitute from Bladder, Via Natural or Artificial Opening Endoscopic"
T524X3D,"Occlusion of Upper Vein with Extraluminal Device, Open Approach"
O288,"Dilation of Right Brachial Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
H04142,"Repair Right Finger Phalanx, Percutaneous Endoscopic Approach"
S0990,"Introduction of Other Therapeutic Substance into Lower GI, Via Natural or Artificial Opening Endoscopic"
S82854S,"Insertion of Intramedullary Internal Fixation Device into Left Lower Femur, Percutaneous Endoscopic Approach"
S064X9D,Beam Radiation of Adrenal Glands using Electrons
M24173,"Removal of Infusion Device from Left Upper Extremity, Percutaneous Approach"
S66811D,"Destruction of Brain, Open Approach"
Y36891A,"Transfer Ulnar Nerve to Median Nerve, Percutaneous Endoscopic Approach"
S21359,"Revision of Autologous Tissue Substitute in Right Tarsal Joint, Open Approach"
S92531A,"Excision of Right Foot Artery, Percutaneous Endoscopic Approach, Diagnostic"
S52572J,"Destruction of Inferior Vena Cava, Percutaneous Approach"
S58911A,"Dilation of Left Thyroid Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach"
R4586,"Bypass Left Subclavian Artery to Left Extracranial Artery with Autologous Venous Tissue, Open Approach"
T471X2A,"Reposition Right Ankle Tendon, Open Approach"
T481X6,"Replacement of Right Sacroiliac Joint with Autologous Tissue Substitute, Open Approach"
L032,"Repair Thymus, Open Approach"
M2305,"Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Open Approach"
V7969XD,"Drainage of Left Elbow Region, Open Approach, Diagnostic"
H35421,"Inspection of Right Breast, External Approach"
I308,"Introduction of Oxazolidinones into Respiratory Tract, Via Natural or Artificial Opening"
T23199D,"Bypass Abdominal Aorta to Bilateral Common Iliac Arteries, Open Approach"
